AppId,Name,Positive,Negative,TotalRatings,RatingsRatio,UserScore,AvgForever,Avg2Weeks,MedForever,Med2Weeks
631770,Pixplode,24,2,26,92.3076923076923,0,144,0,144,0
320040,Moon Hunters,3190,823,4013,79.49165213057563,0,161,252,162,252
516110,ToeJam & Earl: Back in the Groove,772,77,849,90.93050647820968,0,14,0,14,0
1142080,Pawnbarian,240,16,256,93.75,0,0,0,0,0
1154810,Going Under,1996,157,2153,92.7078495123084,0,138,0,254,0
225080,Brothers - A Tale of Two Sons,36430,2047,38477,94.6799386646568,0,117,10,87,10
445190,Expeditions: Viking,2696,503,3199,84.27633635511097,0,356,0,356,0
1016120,PGA TOUR 2K21,4668,941,5609,83.2233909787841,0,3246,591,4251,591
847370,Sunset Overdrive,7085,734,7819,90.61261030822357,0,583,0,284,0
785890,Hexologic,376,15,391,96.16368286445012,0,0,0,0,0
723100,Orbital Racer,27,8,35,77.14285714285715,0,0,0,0,0
1722010,Dagon - The Eldritch Box DLC,0,0,0,0.0,0,0,0,0,0
442070,Drawful 2,2277,540,2817,80.83067092651757,0,109,0,16,0
924970,Back 4 Blood,21540,12001,33541,64.21990996094333,0,1186,29,716,29
349730,Popup Dungeon,623,175,798,78.0701754385965,0,39,0,39,0
418270,Draw Slasher,364,313,677,53.76661742983752,0,24,0,16,0
334940,Yoku's Island Express,3036,118,3154,96.2587190868738,0,569,0,627,0
408410,X-Morph: Defense,2432,219,2651,91.73896642776312,0,388,0,473,0
526870,Satisfactory,86697,2475,89172,97.22446507872426,0,2734,776,1313,1249
327070,Gloria Victis,4946,1958,6904,71.63962920046349,0,639,0,1122,0
1379550,The USB Stick Found in the Grass,18,7,25,72.0,0,0,0,0,0
503560,911 Operator,12065,1484,13549,89.04716215218835,0,275,0,190,0
1078760,Motorcycle Mechanic Simulator 2021,445,129,574,77.52613240418118,0,343,0,343,0
220200,Kerbal Space Program,95617,5259,100876,94.78666878147428,0,4226,246,871,394
282070,This War of Mine,78970,5926,84896,93.01969468526195,0,599,320,236,320
530930,Soulblight,45,42,87,51.72413793103448,0,0,0,0,0
245170,Skullgirls 2nd Encore,23165,1442,24607,94.13987889624904,0,499,114,339,114
875310,LIBERATED,375,112,487,77.00205338809035,0,0,0,0,0
523650,Lust for Darkness,2354,1050,3404,69.1539365452409,0,202,0,235,0
266310,GameGuru,1418,527,1945,72.90488431876608,0,191,0,31,0
1641890,Lust from Beyond: M Edition,57,13,70,81.42857142857143,0,0,0,0,0
211820,Starbound,144417,11082,155499,92.87326606601972,0,3411,429,1174,429
636070,Corridor Z,80,9,89,89.8876404494382,0,0,0,0,0
1433860,The Amazing American Circus,111,49,160,69.375,0,266,0,266,0
938560,INMOST,2546,233,2779,91.6156890967974,0,169,0,169,0
718650,Driftland: The Magic Revival,1073,353,1426,75.24544179523141,0,232,0,343,0
449960,Book of Demons,8982,2138,11120,80.77338129496403,0,464,0,273,0
793460,112 Operator,2802,411,3213,87.20821661998133,0,704,0,625,0
530320,Wandersong,2393,96,2489,96.1430293290478,0,583,0,795,0
404540,Nex Machina,1555,202,1757,88.50313033579967,0,113,0,151,0
474960,Quantum Break,18427,3114,21541,85.54384661807715,0,423,114,305,114
998740,Ring of Pain,2604,230,2834,91.88426252646435,0,428,26,428,26
288470,Fable Anniversary,8552,1607,10159,84.18151392853628,0,701,2,495,2
999220,Amnesia: Rebirth,4634,1396,6030,76.84908789386401,0,283,0,283,0
1285670,Post Void,5705,108,5813,98.1420953036298,0,26,0,37,0
701160,Kingdom Two Crowns,6244,819,7063,88.40436075322101,0,1814,279,1282,358
412020,Metro Exodus,64590,8208,72798,88.72496497156516,0,1429,377,817,377
607050,Wargroove,3553,618,4171,85.18340925437545,0,1023,0,585,0
204100,Max Payne 3,34790,6060,40850,85.16523867809057,0,849,0,583,0
1069030,EarthX,380,25,405,93.82716049382717,0,0,0,0,0
646570,Slay the Spire,104975,2230,107205,97.91987314024531,0,5548,257,2287,225
572890,Pikuniku,4804,200,5004,96.00319744204636,0,273,0,303,0
871530,Radio Commander,989,318,1307,75.66947207345065,0,307,0,371,0
239200,Amnesia: A Machine for Pigs,6349,2864,9213,68.91349180505807,0,99,0,24,0
800342,X-Morph: Defense - Last Bastion,14,0,14,100.0,0,0,0,0,0
1103730,Shing!,152,32,184,82.6086956521739,0,0,0,0,0
800341,X-Morph: Defense - Survival Of The Fittest,2,1,3,66.66666666666666,0,0,0,0,0
873940,Crying Suns,2676,410,3086,86.71419313026571,0,361,0,366,0
1016790,West of Dead,613,205,818,74.93887530562347,0,147,0,150,0
748300,Treasure Hunter Simulator,615,348,963,63.862928348909655,0,488,0,488,0
622890,NecroWorm,44,10,54,81.48148148148148,0,0,0,0,0
916100,Telefrag VR,45,22,67,67.16417910447761,0,0,0,0,0
645630,Car Mechanic Simulator 2018,38147,3997,42144,90.5158504176158,0,1839,29,1020,29
609850,Slinger VR,17,3,20,85.0,0,0,0,0,0
867400,Out of Reach: Treasure Royale,236,136,372,63.44086021505376,0,69,0,137,0
232790,Broken Age,6079,1193,7272,83.59460946094609,0,301,0,381,0
465200,Fury Unleashed,1253,119,1372,91.3265306122449,0,1352,0,1352,0
286000,Tooth and Tail,2914,735,3649,79.85749520416553,0,208,0,130,0
57300,Amnesia: The Dark Descent,27354,1544,28898,94.65706969340438,0,221,94,56,94
844260,Rustler,665,187,852,78.05164319248826,0,194,0,374,0
1026420,WARSAW,547,186,733,74.62482946793997,0,186,0,273,0
520720,Dear Esther: Landmark Edition,2696,881,3577,75.37042214145933,0,164,13,217,13
410710,System Shock: Enhanced Edition,1337,135,1472,90.8288043478261,0,79,0,107,0
305620,The Long Dark,80829,7542,88371,91.46552602097974,0,1230,751,388,784
322500,SUPERHOT,26195,2944,29139,89.89670201448232,0,243,6,160,6
813630,Supraland,8847,395,9242,95.72603332611988,0,1100,0,1524,0
546430,Pathway,1315,426,1741,75.53130384836301,0,373,0,266,0
323220,Vagante,3250,335,3585,90.65550906555092,0,338,0,537,0
579720,Neverout,33,13,46,71.73913043478261,0,0,0,0,0
521880,RPG Maker VX,75,12,87,86.20689655172413,0,0,0,0,0
1191900,Say No! More,438,41,479,91.44050104384134,0,0,0,0,0
1051410,Wanderlust: Travel Stories,73,7,80,91.25,0,38,0,38,0
445980,Wizard of Legend,14137,1318,15455,91.47201552895504,0,1021,257,565,257
800340,X-Morph: Defense - European Assault,15,4,19,78.94736842105263,0,0,0,0,0
